ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
6488,Wild Mouse,Kaydeross Park,Saratoga Springs,New York,United States,Operated,1967,1973,Steel,Thrill,Sit Down,,,,,0,,
6489,Magic Ring Vertical Coaster / 魔环垂直过山车,Shunde,Foshan,Guangdong,China,Operating,2013-10-31,,Steel,Extreme,Sit Down,590.6,151.6,,65.3,2,,
6492,unknown,Sea Star Park,Jinzhou,Liaoning,China,Operating,2013-05-01,,Steel,Extreme,Sit Down,,,,,1,,
6493,Spinning Coaster / 自旋滑车,Gucun Park,Baoshan,Shanghai,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
6494,Motor Coaster / 极速飙车,Penglai,Yantai,Shandong,China,Operating,2013-08-11,,Steel,Thrill,Sit Down,,,,,0,,
6495,Minnie Mouse / Минни Маус,Central Park,Krasnoyarsk,Krasnoyarsk,Russia,Operating,2011,,Steel,Family,Sit Down,,,,,0,,
6496,Rutschebanen,Tivoli Gardens,Copenhagen,Sjælland,Denmark,Operated,1902,1914,Wood,,Sit Down,,,,,0,,
6498,unknown,Jiashan,Jiaxing,Zhejiang,China,Operating,2010,,Steel,Family,Sit Down,,,,,0,,
6502,unknown,Funland Park,San Angelo,Texas,United States,Operated,1991,1991,Steel,Kiddie,Sit Down,,,,,0,,
6503,Montanha Mágica,Magikland,Penafiel,Porto,Portugal,Operating,2010,,Steel,Family,Sit Down,1312.3,49.3,,,0,,
6506,Gliding Dragon / 滑行龙,Huangxing Park,Yangpu,Shanghai,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
6507,Crocodile Coaster,Narberth,Pembrokeshire,Wales,United Kingdom,Operating,2013-05-25,,Steel,Kiddie,Sit Down,,,,,0,,
6511,Speed,Leolandia,Capriate San Gervasio,Lombardy,Italy,Operated,,,Steel,Extreme,Sit Down,,,,,1,,
6512,Shenzhou Surfing / 神舟冲浪,Licheng,Jinan,Shandong,China,Operating,2011,,Steel,Family,Sit Down,,,,,0,,
6513,unknown,Castelinho Kids Buffet,Santos,São Paulo,Brazil,Operated,,,Steel,Family,Sit Down,,,,,0,,
6516,Fruit Worm Coaster / 果虫滑车,Yiyuan Park,Shunyi,Beijing,China,Operating,2013,,Steel,Kiddie,Sit Down,,,,,0,,
6517,unknown,Orchard Park,Kassala,Kassala,Sudan,Operating,2003,,Steel,Family,Sit Down,,,,,0,,
6519,Wild Mouse,Orange County Fairgrounds,Middletown,New York,United States,Operated,1965,1960,Steel,Thrill,Sit Down,,,,,0,,
6521,unknown,Daqing Oilfield Paradise,Daqing,Heilongjiang,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
6524,Outer Space Flying Car / 太空飛車,Wuhou,Chengdu,Sichuan,China,Operating,2002,,Steel,Family,Sit Down,,,,,0,,
6527,Space Car / 宇宙飞车,Licheng,Jinan,Shandong,China,Operated,,,Steel,Extreme,Sit Down,,,,,1,,
6528,Crazy Mouse / 疯狂老鼠,Wujiang,Suzhou,Jiangsu,China,Operating,2012-03,,Steel,Thrill,Sit Down,,,,,0,,
6530,unknown,Fenggang,Dongguan,Guangdong,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
6532,Roller Coaster,Playground Varna,Varna,Varna,Bulgaria,Operated,,,Steel,Extreme,Sit Down,1197.5,36.1,,,1,,
6534,Dragon Coaster,Sindbad's Wonderland,Karachi,Sindh,Pakistan,Operating,2000,,Steel,Family,Sit Down,,,,,0,,
6536,Bandit Bomber,Yas Waterworld,Abu Dhabi,Abu Dhabi,United Arab Emirates,Operating,2013-01-20,,Steel,Family,Inverted,1689.7,75.5,,31.1,0,,
6539,Skate Board,Eram Park,Tehran,Tehran,Iran,Operating,2013,,Steel,Thrill,Sit Down,,,,,0,,
6542,Crazy Caterpillar,Bridlington,East Riding of Yorkshire,England,United Kingdom,Operating,2012,,Steel,Family,Sit Down,,,,,0,,
6544,Gliding Dragon / 滑行龙,Hanjiang,Yangzhou,Jiangsu,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
6545,Gliding Dragon / 滑行龙 / Huá Xíng Lóng,Fenggang,Dongguan,Guangdong,China,Operated,2010,2017,Steel,Family,Sit Down,,,,,0,,
6546,Flying Fish,Chertsey,Surrey,England,United Kingdom,Operated,1983,2004-10-31,Steel,Family,Sit Down,767.8,20.7,,18.8,0,,
6548,Meteor Roller Coaster / 流星过山车,Wenjiang,Chengdu,Sichuan,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
6549,Roller Coaster / 过山车,Hanjiang,Yangzhou,Jiangsu,China,Operated,2011-12,2019,Steel,Extreme,Sit Down,,,,,2,,
6551,unknown,Kindergarten Amusement Park,Riyadh,Ar Riyadh,Saudi Arabia,Operated,,,Steel,Family,Sit Down,,,,,0,,
6552,unknown,Swings-N-Things Family Fun Park,Olmsted Township,Ohio,United States,Operated,1987,2002,Steel,Kiddie,Sit Down,,,,,0,,
6553,Baby Roller Coaster / 宝贝过山车,Wenjiang,Chengdu,Sichuan,China,Operated,2013-04-26,2014,Steel,Family,Sit Down,262.5,13.1,,,0,,
6554,Spinning Coaster / 疯狂战车,Lianjiang,Fuzhou,Fujian,China,Operating,2013-10-01,,Steel,Thrill,Sit Down,,,,,0,,
6557,unknown,Kindergarten Amusement Park,Riyadh,Ar Riyadh,Saudi Arabia,Operated,,,Steel,Family,Sit Down,,,,,0,,
6563,unknown,Haizhu,Guangzhou,Guangdong,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
6566,Spinning Coaster / 自旋滑车,Xiashan,Zhanjiang,Guangdong,China,Operating,2012,,Steel,Thrill,Sit Down,,,,,0,,
6568,Slide the Dragon / 滑行龙,Daiyue,Tai'an,Shandong,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
6569,Golden Dragon Roller Coaster / 金龙滑车,Pingjiang,Suzhou,Jiangsu,China,Operating,2003,,Steel,Family,Sit Down,623.3,,,,0,,
6572,Wacky Worm,Parque Infantil Sonora,Hermosillo,Sonora,Mexico,Operating,2007,,Steel,Family,Sit Down,,,,,0,,
6573,Zhongnan Baicao Field / 中南百草原,Anji,Huzhou,Zhejiang,China,Operating,2001,,,,,,,,,,,
